"Chef Salad","760.0","342","63","0"
"Chicken Caesar Salad","1150.0","648","66","0"
"Chicken Dumpling Soup","120.0","32","14","0"
"Chicken Ranch","1090.0","477","99","0"
"Chicken Ranch (Half Portion)","540.0","234","50","0"
"Chocolate Chip Cookie","130.0","63","17","0"
"Club","1020.0","585","68","0"
"Dill Pickles","25.0","0","5","0"
"Fast Eddy","1070.0","414","116","0"
"Fast Eddy (Half Portion)","540.0","207","58","0"
"Golden Gate","1120.0","423","119","0"
"Golden Gate (Half Portion)","560.0","216","60","0"
"Got Beef","1000.0","423","98","0"
"Got Beef (Half Portion)","500.0","216","49","0"
"Ham (Kids Portion)","660.0","261","82","0"
"Hang Loose","1190.0","540","112","0"
"Hang Loose (Half Portion)","600.0","270","56","0"
"Hot ""T""","1050.0","333","129","0"
"Hot ""T"" (Half Portion)","520.0","171","64","0"
"House Combo","980.0","405","98","0"
"House Combo (Half Portion)","490.0","207","49","0"
"House Salad","340.0","81","61","0"
"House Salad (Side)","35.0","9","7","0"
"Kickin' Chicken","1090.0","450","102","0"
"Kickin' Chicken (Half Portion)","540.0","225","51","0"
"Macaroni Salad","480.0","279","40","0"
"Manhattan","1000.0","378","99","0"
"Manhattan (Half Portion)","500.0","189","50","0"
"Motts Apple Juice Box Drink","100.0","0","24","0"
"Motts Fruit Juice Box Drink","50.0","0","13","0"
"PB&J (Kids Portion)","780.0","279","116","0"
"Pickles Cheese Steak","960.0","360","95","0"
"Pickles Cheese Steak (Half Portion)","480.0","180","48","0"
"Red Bliss Potato Salad","340.0","198","31","0"
"Reuben","960.0","450","68","0"
"Salami (Kids Portion)","820.0","414","82","0"
"Santa Fe Salad","1170.0","594","96","0"
"Spicy Bird","1010.0","423","100","0"
"Spicy Bird (Half Portion)","500.0","216","50","0"
"Summer Love (Half Portion)","510.0","198","56","0"
"Summer Love Wrap","900.0","450","76","0"
"Thai Style Chicken Rice Soup","260.0","162","17","0"
"The Italian","1030.0","432","100","0"
"The Italian (Half Portion)","510.0","216","50","0"
"The Mr. Pickle","1350.0","675","106","0"
"The Mr. Pickle (Half Portion)","670.0","342","53","0"
"Tom Turkey","1110.0","495","96","0"
"Tom Turkey (Half Portion)","560.0","243","48","0"
"Tomato Bisque","280.0","189","19","0"
"Tri Tip Salad","760.0","342","83","0"
"Tri Tip Sandwich","1040.0","342","132","0"
"Tri Tip Sandwich (Half Portion)","520.0","171","66","0"
"Truly Vegan","750.0","243","113","0"
"Truly Vegan (Half Portion)","370.0","126","57","0"
"Turkey (Kids Portion)","690.0","261","81","0"
"Veggie Pestoli","900.0","432","105","0"
"Veggie Pestoli (Half Portion)","450.0","225","53","0"
"12 inch Chicken Club Sub","1290.0","612","86","0"
"12 inch Ham & Cheese Sub","1150.0","558","86","0"
"12 inch Italiano Sub","1440.0","756","100","0"
"12 inch Meatball Sub","1430.0","702","105","0"
"12 inch Steak & Cheese Sub","1180.0","549","88","0"
"12 inch Steak Hoagie with Mushroom Sauce","1240.0","576","98","0"
"12 inch Steak Hoagie with Pizza Sauce","1240.0","576","98","0"
"12 inch Turkey & Ham Sub","1120.0","513","87","0"
"12 inch Veggie Sub","1160.0","567","105","0"
"12 oz Latte with Almond Milk","50.0","18","6","0"
"12 oz Latte with Coconut Milk","60.0","36","6","0"
"12 oz Latte with Skim Milk","60.0","0","9","0"
"12 oz Latte with Soy Milk","70.0","27","6","0"
"12 oz Latte with Whole Milk","120.0","54","9","0"
"12 oz Strawberry Banana Smoothie","200.0","0","48","0"
"12 oz Strawberry Smoothie","200.0","0","47","0"
"16 oz Latte with Almond Milk","70.0","23","9","0"
"16 oz Latte with Coconut Milk","90.0","45","8","0"
"16 oz Latte with Skim Milk","90.0","0","13","0"
"16 oz Latte with Soy Milk","100.0","36","8","0"
"16 oz Latte with Whole Milk","160.0","72","13","0"
"16 oz Strawberry Banana Smoothie","260.0","0","64","0"
"16 oz Strawberry Smoothie","260.0","0","62","0"
"20 oz Latte with Almond Milk","80.0","27","11","0"
"20 oz Latte with Coconut Milk","110.0","54","10","0"
"20 oz Latte with Skim Milk","110.0","0","16","0"
